City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,templin,53.1186,13.5022,22.88,47,100,2.04,DE,1688968812
109,waimea,20.0231,-155.6717,18.63,87,92,1.34,US,1688968812
110,laboulaye,-34.1266,-63.3912,11.13,85,98,3.01,AR,1688968814
111,lompoc,34.6391,-120.4579,13.4,81,100,7.6,US,1688968814
112,saldanha,-33.0117,17.9442,8.22,72,0,4.04,ZA,1688968815
113,tura,25.5198,90.2201,29.42,78,96,2.78,IN,1688968816
114,nizhneangarsk,55.7833,109.55,16.87,73,98,1.27,RU,1688968817
115,peace river,56.2501,-117.286,20.53,66,2,1.02,CA,1688968817
116,saint-pierre,-21.3393,55.4781,25.82,47,0,1.54,RE,1688968817
117,benxi,41.2886,123.765,29.18,65,53,2.11,CN,1688968818
118,mejit,10.2753,170.8646,28.01,81,49,6.54,MH,1688968818
119,alexandria,31.2156,29.9553,26.15,71,0,6.57,EG,1688968805
120,nadym,65.5333,72.5167,12.39,74,99,5.84,RU,1688968819
121,stanley,54.868,-1.6985,14.6,90,0,2.06,GB,1688968819
122,egilsstadir,65.2653,-14.3948,12.94,73,100,3.1,IS,1688968819
123,sitka,57.0531,-135.33,11.06,84,43,2.29,US,1688968820
124,margate,51.3813,1.3862,16.6,88,59,4.73,GB,1688968820
125,orting,47.0979,-122.2043,17.73,73,0,0.0,US,1688968820
126,ghat,24.9647,10.1728,30.61,20,0,1.67,LY,1688968821
127,bonthe,7.5264,-12.505,24.64,90,100,3.59,SL,1688968821
128,kawalu,-7.3817,108.2082,30.72,52,50,2.47,ID,1688968822
129,fort mcmurray,56.7268,-111.381,11.99,57,0,2.22,CA,1688968822
130,cafayate,-26.073,-65.9761,11.92,72,52,1.59,AR,1688968823
131,midvagur,62.0511,-7.1939,12.46,94,100,1.03,FO,1688968823
132,kosh-agach,50.0,88.6667,15.24,58,100,3.22,RU,1688968824
133,west island,-12.1568,96.8225,26.99,69,40,6.69,CC,1688968824
134,hermanus,-34.4187,19.2345,7.11,69,60,3.3,ZA,1688968825
135,villa constitucion,-33.2278,-60.3297,14.99,96,62,1.64,AR,1688968826
136,aubigny-sur-nere,47.4882,2.439,16.72,100,1,1.84,FR,1688968826
137,feijo,-8.1642,-70.3536,21.61,98,5,1.2,BR,1688968827
138,isiro,2.7739,27.616,21.14,84,91,0.5,CD,1688968827
139,oriximina,-1.7656,-55.8661,23.84,82,4,1.75,BR,1688968827
140,diu,20.7141,70.9822,29.4,73,96,7.31,IN,1688968828
141,namtsy,62.7161,129.6658,28.06,34,79,5.1,RU,1688968828
142,yaren,-0.5472,166.916,28.23,74,100,3.43,NR,1688968829
143,sao joao da barra,-21.6403,-41.0511,20.8,83,100,3.71,BR,1688968829
144,ribeira grande,38.5167,-28.7,20.99,96,96,2.24,PT,1688968830
145,newman,37.3138,-121.0208,17.81,72,0,2.13,US,1688968830
146,ambon,-3.6954,128.1814,25.08,95,40,3.09,ID,1688968830
147,groznyy,43.3083,45.7003,24.22,73,100,6.0,RU,1688968830
148,whitehorse,60.7161,-135.0538,23.9,40,9,2.9,CA,1688968831
149,puente de vallecas,40.3869,-3.6592,24.74,38,0,2.24,ES,1688968831
150,uliastay,47.7417,96.8444,22.01,37,99,8.04,MN,1688968832
151,mangrol,21.1167,70.1167,28.85,77,97,5.55,IN,1688968832
152,nabire,-3.3667,135.4833,28.48,77,62,1.67,ID,1688968832
153,port elizabeth,-33.918,25.5701,10.73,97,67,1.34,ZA,1688968833
154,kerikeri,-35.2268,173.9474,13.28,86,91,4.22,NZ,1688968833
155,mili,6.0815,171.735,27.84,79,82,5.66,MH,1688968834
156,longyearbyen,78.2186,15.6401,6.91,70,75,2.06,SJ,1688968835
157,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,88,75,5.0,RU,1688968569
158,aasiaat,68.7098,-52.8699,4.66,96,100,3.2,GL,1688968835
159,punta arenas,-53.15,-70.9167,0.54,86,28,3.41,CL,1688968836
160,praia da vitoria,38.7333,-27.0667,21.53,95,93,2.82,PT,1688968836
161,lebu,-37.6167,-73.65,6.21,80,37,3.43,CL,1688968836
162,huaihua,27.5494,109.9592,35.85,43,48,5.49,CN,1688968837
163,howrah,22.5892,88.3103,33.0,66,75,2.06,IN,1688968346
164,medebach,51.2,8.7167,17.84,91,77,2.05,DE,1688968838
165,glace bay,46.1969,-59.957,17.93,97,66,0.89,CA,1688968839
166,san luis de la loma,17.2706,-100.8939,25.78,91,100,0.81,MX,1688968839
167,remire-montjoly,4.9167,-52.2667,23.02,100,20,0.0,GF,1688968839
168,severo-yeniseyskiy,60.3725,93.0408,16.81,95,100,3.83,RU,1688968839
169,revda,56.801,59.9303,28.47,48,90,1.25,RU,1688968840
170,teguise,29.0605,-13.564,20.12,83,20,8.23,ES,1688968603
171,okha,53.5739,142.9478,17.05,51,2,6.89,RU,1688968840
172,port alfred,-33.5906,26.891,9.54,89,83,1.34,ZA,1688968841
173,keetmanshoop,-26.5833,18.1333,2.34,61,0,4.29,NA,1688968841
174,nemuro,43.3236,145.575,17.14,93,100,2.08,JP,1688968702
175,sur,22.5667,59.5289,35.34,44,99,4.26,OM,1688968842
176,mayya,61.7333,130.2811,28.62,34,46,4.67,RU,1688968842
177,jayapura,-2.5333,140.7,30.66,88,100,2.17,ID,1688968620
178,minas de marcona,-15.2119,-75.1103,13.3,79,25,2.43,PE,1688968843
179,uray,60.1247,64.7758,21.28,59,96,2.97,RU,1688968843
180,hawaiian paradise park,19.5933,-154.9731,22.16,97,77,2.38,US,1688968843
181,nizhneudinsk,54.9076,99.0276,25.88,45,98,0.92,RU,1688968843
