City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,dubbo,-32.25,148.6167,5.07,93,0,4.63,AU,1689981300
129,tateyama,34.9833,139.8667,24.9,76,18,3.78,JP,1689981409
130,altayskoye,51.9533,85.3325,18.67,60,13,3.07,RU,1689981526
131,tiznit,29.5833,-9.5,25.6,49,0,1.06,MA,1689981526
132,arraial do cabo,-22.9661,-42.0278,20.98,72,6,8.01,BR,1689981311
133,san antonio de pale,-1.4014,5.6325,23.43,73,63,4.93,GQ,1689981527
134,buala,-8.145,159.5921,28.41,77,91,1.81,SB,1689981527
135,mitchell,43.7094,-98.0298,28.99,39,0,4.63,US,1689981527
136,namibe,-15.1961,12.1522,17.86,84,77,2.36,AO,1689981527
137,tolanaro,-25.0319,46.9987,17.93,82,94,3.46,MG,1689981365
138,salalah,17.0151,54.0924,25.05,100,100,0.51,OM,1689981385
139,talakan,50.3167,130.3667,22.16,49,90,0.03,RU,1689981528
140,horta,38.5333,-28.6333,20.01,92,95,2.24,PT,1689981528
141,lensk,60.7253,114.9278,21.03,63,91,3.02,RU,1689981528
142,rio grande,-32.035,-52.0986,19.06,87,17,6.11,BR,1689981375
143,dalandzadgad,43.5708,104.425,22.34,42,100,7.83,MN,1689981497
144,lihue,21.9789,-159.3672,28.58,83,100,5.14,US,1689981529
145,el calafate,-50.3408,-72.2768,-1.43,93,100,1.81,AR,1689981529
146,catumbela,-12.4314,13.5472,19.63,88,38,2.77,AO,1689981530
147,kalach,50.4258,41.0261,14.48,90,1,2.54,RU,1689981530
148,katsuren-haebaru,26.3369,127.8719,31.21,79,40,4.12,JP,1689981302
149,jinchang,38.4953,102.1739,20.6,32,6,1.52,CN,1689981349
150,ad dilam,23.9915,47.1627,34.23,9,100,1.78,SA,1689981531
151,tiksi,71.6872,128.8694,10.66,55,30,4.24,RU,1689981531
152,kodiak,57.79,-152.4072,15.73,72,0,2.06,US,1689981531
153,signal mountain,35.1226,-85.3438,22.59,83,100,1.54,US,1689981531
154,bambanglipuro,-7.95,110.2833,21.44,91,25,1.49,ID,1689981461
155,ornskoldsvik,63.2909,18.7153,10.53,100,100,0.51,SE,1689981532
156,kolonia,50.9333,6.95,15.48,74,0,1.03,DE,1689981389
157,prince rupert,54.3161,-130.3201,17.83,93,100,1.03,CA,1689981532
158,bikenibeu village,1.3673,173.1241,29.98,74,75,2.57,KI,1689981533
159,port elizabeth,-33.918,25.5701,11.17,81,0,2.06,ZA,1689981533
160,la'ie,21.6477,-157.9253,29.98,67,70,3.58,US,1689981533
161,siuna,13.7332,-84.7773,27.09,85,98,1.69,NI,1689981533
162,port alfred,-33.5906,26.891,19.38,51,86,8.49,ZA,1689981453
163,ribeira do pombal,-10.8344,-38.5358,18.47,84,1,2.45,BR,1689981416
164,okhotsk,59.3833,143.3,13.96,90,99,2.0,RU,1689981534
165,borogontsy,62.6683,131.1683,14.9,69,2,2.93,RU,1689981534
166,rudolstadt,50.7167,11.3333,15.18,91,57,2.25,DE,1689981254
167,les cayes,18.2,-73.75,28.3,80,19,4.41,HT,1689981329
168,flying fish cove,-10.4217,105.6791,23.82,83,100,7.2,CX,1689981353
169,lincoln city,44.9582,-124.0179,30.58,68,9,5.36,US,1689981535
170,tobol'sk,58.2,68.2667,13.56,88,48,3.5,RU,1689981536
171,stephenville,32.2207,-98.2023,39.96,24,0,4.12,US,1689981536
172,arkhangel'sk,64.5401,40.5433,14.19,99,60,1.76,RU,1689981536
173,khandyga,62.6667,135.6,13.14,95,100,0.79,RU,1689981536
174,luau,-10.7073,22.2247,19.43,36,17,2.25,AO,1689981536
175,inarajan village,13.2736,144.7484,30.08,86,100,4.48,GU,1689981537
176,antofagasta,-23.65,-70.4,17.6,89,43,4.82,CL,1689981537
177,glenwood springs,39.5505,-107.3248,33.51,22,0,2.06,US,1689981537
178,tsiombe,-25.3,45.4833,18.43,64,20,5.45,MG,1689981537
179,port hedland,-20.3167,118.5667,19.03,26,0,8.75,AU,1689981533
180,thompson,55.7435,-97.8558,21.09,64,75,5.14,CA,1689981538
181,pudozh,61.8099,36.5345,12.2,98,100,3.05,RU,1689981538
182,aliwal north,-30.6937,26.7114,8.55,75,97,11.43,ZA,1689981538
183,mata-utu,-13.2816,-176.1745,28.02,79,13,3.49,WF,1689981539
184,spring creek,40.7266,-115.5859,35.83,8,0,4.18,US,1689981539
185,guaraniacu,-25.1008,-52.8781,16.0,91,3,1.55,BR,1689981539
186,kargopol',61.5071,38.9456,13.02,91,100,5.28,RU,1689981539
187,molchanovo,57.5817,83.7692,15.69,96,45,2.31,RU,1689981540
188,nema,57.5067,50.5011,13.71,96,100,3.85,RU,1689981540
189,iqaluit,63.7506,-68.5145,6.85,87,75,1.03,CA,1689981540
190,ketchikan,55.3422,-131.6461,17.26,94,100,3.09,US,1689981541
191,nabire,-3.3667,135.4833,25.33,88,82,1.67,ID,1689981483
192,nemuro,43.3236,145.575,16.27,89,19,5.21,JP,1689981448
193,dom pedro,-4.4833,-44.45,25.44,48,13,0.35,BR,1689981417
194,saint-joseph,-21.3667,55.6167,19.15,85,60,6.75,RE,1689981542
195,ain el bya,35.8039,-0.3018,28.16,51,98,0.99,DZ,1689981542
196,coxim,-18.5067,-54.76,25.97,32,0,1.62,BR,1689981379
197,kumbo,6.2,10.6667,15.39,94,99,1.08,CM,1689981543
198,waterloo,43.4668,-80.5164,23.74,68,20,4.63,CA,1689981373
199,east london,-33.0153,27.9116,17.88,51,90,6.75,ZA,1689981544
200,bengkulu,-3.8004,102.2655,23.97,93,41,2.25,ID,1689981325
201,gamay,12.3854,125.2979,26.23,92,73,2.73,PH,1689981544
202,monze,-16.2833,27.4833,15.06,61,17,2.38,ZM,1689981519
203,hadibu,12.65,54.0333,25.87,81,69,11.92,YE,1689981545
204,mount pearl,47.5166,-52.7813,22.19,81,20,4.12,CA,1689981545
205,nova sintra,14.8667,-24.7167,22.99,83,19,7.26,CV,1689981545
206,tetouan,35.5711,-5.3724,24.43,57,0,6.69,MA,1689981545
207,leava,-14.3,-178.1667,27.13,81,36,4.74,WF,1689981546
208,fort bragg,35.139,-79.006,33.91,44,0,4.12,US,1689981533
209,howrah,22.5892,88.3103,28.0,89,40,2.57,IN,1689981546
210,al hazm,16.1641,44.7769,30.52,37,90,3.22,YE,1689981546
211,cockermouth,54.6621,-3.3609,13.57,98,100,1.79,GB,1689981546
212,newman,37.3138,-121.0208,41.19,6,0,4.25,US,1689981547
213,alofi,-19.0595,-169.9187,26.94,83,13,3.09,NU,1689981547
214,klyuchi,52.2667,79.1667,18.23,79,96,3.13,RU,1689981547
215,happy valley-goose bay,53.3168,-60.3315,28.17,30,40,4.12,CA,1689981547
216,talcahuano,-36.7167,-73.1167,11.82,100,100,3.6,CL,1689981548
217,chonchi,-42.6128,-73.8092,7.84,94,100,1.43,CL,1689981548
218,santarem,-2.4431,-54.7083,27.07,78,0,2.57,BR,1689981548
219,chokwe,-24.5333,32.9833,15.41,91,100,2.24,MZ,1689981519
220,acapulco de juarez,16.8634,-99.8901,31.9,74,40,1.54,MX,1689981549
221,korsholm,63.1142,21.6822,13.27,96,0,1.79,FI,1689981343
222,dakar,14.6937,-17.4441,28.07,74,40,2.06,SN,1689981550
223,cukai,4.25,103.4167,26.97,91,100,2.1,MY,1689981308
224,qaqortoq,60.7167,-46.0333,7.41,91,33,0.35,GL,1689981551
225,jinka,5.65,36.65,17.79,78,97,1.08,ET,1689981361
226,putyvl',51.3374,33.8707,13.09,79,76,3.2,UA,1689981551
227,rawson,-43.3002,-65.1023,13.15,44,75,6.23,AR,1689981253
228,sola,-13.8833,167.55,25.28,79,100,5.97,VU,1689981552
229,orange walk,17.8333,-88.8333,27.56,84,100,1.58,BZ,1689981552
230,bubaque,11.2833,-15.8333,27.66,83,99,6.87,GW,1689981552
231,dazhou,31.2159,107.5009,23.78,94,12,0.96,CN,1689981345
232,hassi messaoud,31.6804,6.0729,34.92,10,0,2.06,DZ,1689981333
233,saudarkrokur,65.7461,-19.6394,9.51,86,71,1.2,IS,1689981553
234,ormara,25.2088,64.6357,28.02,88,73,5.38,PK,1689981553
235,pasuquin,18.3328,120.6177,28.97,89,20,1.54,PH,1689981554
236,kapuskasing,49.4169,-82.4331,21.05,45,20,3.6,CA,1689981554
237,tayshet,55.9342,98.0044,15.45,73,99,1.95,RU,1689981554
238,alice springs,-23.7,133.8833,5.75,87,0,0.0,AU,1689981415
239,mount gambier,-37.8333,140.7667,9.05,92,60,3.8,AU,1689981340
240,turpan,42.9333,89.1667,34.17,15,99,2.26,CN,1689981555
241,fisterra,42.9049,-9.2629,18.75,85,40,8.02,ES,1689981555
242,cooper's town,26.8667,-77.5167,29.73,74,61,1.98,BS,1689981556
243,moranbah,-22.0016,148.0466,20.03,43,52,5.98,AU,1689981556
244,kourou,5.1552,-52.6478,25.03,87,47,3.51,GF,1689981487
245,taksimo,56.3444,114.8794,17.63,67,21,0.51,RU,1689981557
246,hamilton,39.1834,-84.5333,26.69,61,0,4.12,US,1689981557
247,choibalsan,48.0667,114.5,15.53,71,12,4.04,MN,1689981557
248,kenai,60.5544,-151.2583,22.05,52,100,5.66,US,1689981557
249,vicuna,-30.0319,-70.7081,17.09,45,100,1.49,CL,1689981558
250,touros,-5.1989,-35.4608,24.36,74,0,7.16,BR,1689981558
251,nampula,-15.1165,39.2666,15.96,96,14,2.07,MZ,1689981558
252,gamboma,-1.8764,15.8644,27.75,43,85,0.67,CG,1689981365
253,vallenar,-28.5708,-70.7581,16.78,49,53,1.52,CL,1689981315
254,lata,40.1629,-8.3327,13.48,97,4,0.83,PT,1689981559
255,vorgashor,67.5833,63.95,15.91,90,58,2.88,RU,1689981331
256,nogliki,51.8333,143.1667,19.29,84,100,3.36,RU,1689981559
257,mwene-ditu,-7.0,23.45,23.08,33,28,1.93,CD,1689981560
258,walvis bay,-22.9575,14.5053,10.05,72,0,1.99,NA,1689981560
259,sur,22.5667,59.5289,30.61,65,100,1.81,OM,1689981326
260,iskateley,67.6803,53.1512,8.06,94,86,6.04,RU,1689981561
261,oqtosh,39.9214,65.9253,26.4,23,0,4.83,UZ,1689981332
262,berdigestyakh,62.0989,126.6992,17.77,56,31,2.95,RU,1689981561
263,boyolangu,-8.1181,111.8935,20.5,94,35,0.41,ID,1689981483
264,bouna,9.2667,-3.0,23.43,83,91,3.09,CI,1689981562
265,cill airne,52.05,-9.5167,13.5,95,100,2.89,IE,1689981562
266,silifke,36.3778,33.9344,28.64,56,0,3.29,TR,1689981562
267,swan hill,-35.3378,143.5544,7.53,78,5,1.76,AU,1689981563
268,tchintabaraden,15.8969,5.7985,29.57,50,77,4.04,NE,1689981563
269,nikolayevsk-on-amure,53.1406,140.73,22.05,88,100,2.0,RU,1689981563
270,moree,-29.4667,149.85,9.23,65,0,2.71,AU,1689981564
271,pathein,16.7833,94.7333,25.54,92,92,1.76,MM,1689981564
272,pacocha,-17.5833,-71.3333,17.03,84,0,2.14,PE,1689981564
273,la sarre,48.8002,-79.1996,20.44,43,7,4.39,CA,1689981564
274,drammen,59.7439,10.2045,12.66,91,100,1.0,NO,1689981565
275,churapcha,62.0025,132.4325,14.94,72,33,3.99,RU,1689981565
276,ciudad lazaro cardenas,17.9583,-102.2,30.61,71,22,4.23,MX,1689981565
277,san patricio,28.017,-97.5169,37.4,43,0,6.36,US,1689981566
278,elamanchili,17.55,82.8667,25.89,88,90,3.12,IN,1689981566
279,sao joao da barra,-21.6403,-41.0511,20.05,63,99,4.63,BR,1689981481
280,kendari,-3.945,122.4989,23.34,92,4,1.15,ID,1689981458
281,tashtyp,52.7939,89.8983,14.91,82,6,0.51,RU,1689981567
282,nacozari de garcia,30.3742,-109.6908,22.44,68,23,8.02,MX,1689981567
283,panaba,21.2833,-88.2667,27.42,83,99,3.4,MX,1689981567
284,junin de los andes,-39.9504,-71.0694,5.97,96,96,2.83,AR,1689981567
285,usinsk,65.9939,57.5281,16.35,95,100,5.25,RU,1689981568
286,umm kaddadah,13.6017,26.6876,32.76,36,67,5.37,SD,1689981568
287,apolda,51.0167,11.5,14.19,85,49,0.45,DE,1689981568
288,shenjiamen,29.9576,122.298,26.69,89,99,10.24,CN,1689981569
289,bela,25.9333,81.9833,31.71,62,11,5.97,IN,1689981569
290,kununurra,-15.7667,128.7333,22.99,40,3,3.09,AU,1689981569
291,baruun-urt,46.6806,113.2792,14.93,71,51,5.37,MN,1689981569
292,yaren,-0.5472,166.916,28.2,73,99,1.67,NR,1689981365
293,launceston,-41.45,147.1667,3.97,100,75,2.06,AU,1689981360
294,carnarvon,-24.8667,113.6333,13.47,36,0,9.71,AU,1689981472
295,fort mcmurray,56.7268,-111.381,27.77,44,0,1.54,CA,1689981570
296,sisimiut,66.9395,-53.6735,6.39,92,100,1.45,GL,1689981570
297,yreka,41.7354,-122.6345,38.54,11,0,2.57,US,1689981571
298,salekhard,66.53,66.6019,18.49,87,100,0.64,RU,1689981571
299,tofol,5.3248,163.0078,27.88,83,100,4.12,FM,1689981571
300,erbendorf,49.8403,12.0447,12.28,93,32,0.94,DE,1689981572
301,fort st. john,56.2499,-120.8529,24.94,44,75,4.12,CA,1689981572
